Area,Bedrooms,Bathrooms,Floors,Age,Parking,Location,Furnishing,Distance_to_City,Crime_Rate,School_Rating,Hospital_Distance,Metro_Distance,Shopping_Mall_Distance,Park_Distance,Pollution_Index,Population_Density,Property_Tax,Electricity_Availability,Water_Supply,Security,House_Type,Facing,Price
1851.0,6,2.0,2,20,1,Urban,Unfurnished,3.8,3.82,7.5,5.1,3.6,4.2,2.7,82.4,6872,20518,Yes,Limited,Non-Gated,Villa,North,163.43
1877.0,6,3.0,2,1,0,Urban,Furnished,8.5,0.42,4.7,5.5,3.6,4.0,0.4,67.2,5175,40621,Yes,24x7,Non-Gated,Independent House,North,139.62
1887.0,1,2.0,3,10,1,Suburban,Semi-Furnished,4.9,4.31,5.5,6.2,4.6,19.4,2.1,78.4,8626,21318,Yes,24x7,Non-Gated,Apartment,East,99.23
2828.0,3,1.0,2,21,1,Suburban,Semi-Furnished,22.6,3.99,3.8,2.8,7.2,4.8,2.4,61.7,5071,26424,Yes,Limited,Gated,Apartment,East,134.14
1426.0,2,5.0,1,32,0,Rural,Furnished,9.5,0.92,8.2,1.9,4.7,3.0,0.5,73.1,8694,22853,Yes,24x7,Gated,Apartment,East,83.79
1368.0,3,1.0,1,34,3,Urban,Furnished,4.9,1.31,5.5,7.9,5.8,4.5,1.4,43.8,2452,28717,Yes,24x7,Gated,Apartment,East,93.39
1202.0,1,1.0,3,7,2,Urban,Semi-Furnished,26.6,2.42,7.3,2.6,0.8,1.1,1.5,66.8,5432,20302,Yes,Limited,Non-Gated,Apartment,East,81.38
1989.0,4,5.0,1,28,1,Urban,Furnished,10.1,1.53,8.4,4.2,6.3,7.5,0.2,36.8,3512,27100,Yes,24x7,Gated,Apartment,West,143.87
2271.0,1,4.0,3,38,0,Suburban,Semi-Furnished,5.7,0.71,7.2,1.4,2.7,8.3,2.3,78.1,7731,27186,Yes,24x7,Gated,Apartment,West,112.46
1587.0,4,4.0,1,31,3,Rural,Semi-Furnished,7.8,1.42,4.2,7.7,8.3,3.1,1.0,74.2,8235,17782,Yes,24x7,Gated,Independent House,North,113.96
1188.0,3,1.0,1,28,2,Urban,Semi-Furnished,16.7,5.62,3.9,3.5,7.4,9.1,1.3,47.7,10391,26109,Yes,24x7,Gated,Apartment,East,83.56
1197.0,6,2.0,3,31,3,Urban,Unfurnished,13.9,4.1,6.1,2.5,1.7,12.6,2.8,21.5,8467,27425,Yes,24x7,Gated,Independent House,North,111.46
2008.0,6,2.0,2,22,3,Rural,Unfurnished,11.6,3.59,6.0,2.0,0.4,3.5,2.9,41.3,7238,36730,Yes,Limited,Gated,Villa,East,149.92
2059.0,4,4.0,2,24,1,Suburban,Unfurnished,3.4,3.43,5.3,7.5,2.2,2.5,1.9,56.8,5048,23200,Yes,24x7,Non-Gated,Independent House,North,142.19
1949.0,3,3.0,1,21,2,Urban,Semi-Furnished,25.4,2.41,3.4,1.9,2.6,11.3,2.6,53.3,9451,13656,Yes,24x7,Non-Gated,Apartment,West,112.07
1284.0,5,2.0,1,38,1,Urban,Furnished,18.4,0.92,4.3,4.1,4.7,8.6,1.4,33.5,3616,10833,Yes,24x7,Non-Gated,Independent House,North,108.61
1778.0,5,4.0,1,14,0,Urban,Semi-Furnished,,2.97,6.7,4.0,1.7,6.1,2.0,76.6,10023,31825,Yes,Limited,Gated,Apartment,East,112.77
1714.0,1,4.0,1,31,0,Urban,Unfurnished,9.5,0.45,9.6,0.6,4.1,6.2,0.4,68.0,3596,20865,Yes,24x7,Non-Gated,Villa,West,130.75
1770.0,3,4.0,1,0,0,Suburban,Unfurnished,,2.6,4.6,9.1,4.6,1.0,1.0,56.7,10034,25709,Yes,Limited,Gated,Independent House,North,138.85
2129.0,6,1.0,2,16,3,Suburban,Semi-Furnished,1.2,1.62,3.3,1.9,2.4,2.4,4.2,65.8,8505,25822,Yes,24x7,Non-Gated,Apartment,South,144.28
1773.0,2,4.0,1,36,3,Urban,Unfurnished,8.5,1.36,4.2,0.4,2.6,8.6,6.4,55.8,6079,23403,Yes,24x7,Gated,Apartment,South,120.32
2023.0,1,2.0,2,9,1,Suburban,Semi-Furnished,2.4,4.72,7.2,1.3,1.0,7.1,2.3,15.1,2243,42165,Yes,24x7,Non-Gated,Apartment,North,130.5
1687.0,6,2.0,3,31,3,Urban,Semi-Furnished,,2.41,4.3,1.5,2.0,4.8,0.5,81.7,7982,33072,Yes,Limited,Gated,Independent House,West,134.73
1809.0,6,5.0,1,20,2,Urban,Furnished,20.9,12.94,4.0,4.9,3.5,6.5,0.4,93.4,5430,34595,Yes,Limited,Gated,Apartment,North,135.6
1997.0,4,3.0,3,5,0,Urban,Semi-Furnished,13.7,4.4,8.9,1.9,6.4,2.8,0.7,64.5,3186,24980,Yes,24x7,Gated,Villa,South,164.88
849.0,4,4.0,2,4,0,Urban,Furnished,22.0,6.3,7.1,2.4,2.1,4.6,2.8,50.0,7195,15751,Yes,24x7,Gated,Independent House,South,102.79
1474.0,3,2.0,2,4,1,Rural,Furnished,17.5,5.99,9.6,3.6,5.0,1.9,1.7,23.4,7673,30639,Yes,24x7,Gated,Independent House,North,109.33
1391.0,3,5.0,3,18,3,Urban,Furnished,8.4,2.5,8.3,2.7,2.4,2.7,1.4,48.0,7928,23118,Yes,24x7,Gated,Apartment,East,122.14
1299.0,6,2.0,3,12,2,Urban,Semi-Furnished,3.9,3.38,5.2,0.6,1.3,0.6,1.3,29.7,6669,26954,Yes,24x7,Gated,Independent House,East,130.76
1499.0,6,1.0,3,35,1,Suburban,Semi-Furnished,18.1,3.08,7.0,4.4,3.2,10.0,1.3,47.9,8413,34532,Yes,Limited,Non-Gated,Independent House,West,108.1
2472.0,3,2.0,3,30,3,Urban,Unfurnished,9.5,1.03,5.3,3.4,5.1,3.4,5.5,41.7,8047,24791,Yes,24x7,Gated,Independent House,South,162.8
1174.0,2,1.0,1,5,1,Urban,Unfurnished,20.0,6.05,3.1,2.1,6.4,3.3,1.5,53.8,4672,15728,Yes,24x7,Gated,Apartment,North,72.59
2183.0,2,3.0,2,20,3,Urban,Furnished,12.3,2.49,6.1,5.9,7.3,6.6,1.5,49.3,8123,25204,Yes,24x7,Non-Gated,Independent House,North,145.37
724.0,1,1.0,2,30,2,Urban,Furnished,13.9,2.03,9.8,8.5,1.2,11.7,1.4,53.3,5768,31656,Yes,24x7,Gated,Apartment,West,52.21
1466.0,3,2.0,2,26,2,Urban,Furnished,17.2,1.32,8.6,6.7,3.4,5.7,3.4,51.3,1325,22242,Yes,24x7,Gated,Apartment,West,109.84
1740.0,4,4.0,3,0,0,Suburban,Furnished,23.6,8.97,3.1,0.7,11.1,9.8,3.6,62.2,7596,25998,Yes,24x7,Gated,Apartment,South,98.68
1972.0,5,1.0,2,0,0,Urban,Semi-Furnished,9.3,3.03,5.5,10.8,5.3,2.7,1.9,43.2,8413,22669,Yes,24x7,Gated,Apartment,East,141.69
2041.0,5,3.0,2,23,3,Urban,Semi-Furnished,9.5,4.04,7.8,12.6,8.6,9.0,1.7,18.5,3552,27031,Yes,24x7,Gated,Apartment,East,152.41
2086.0,3,4.0,3,36,3,Suburban,Furnished,16.6,,7.7,2.6,10.1,4.2,1.7,48.8,6908,28336,Yes,24x7,Non-Gated,Apartment,South,120.82
1458.0,2,3.0,3,2,1,Urban,Semi-Furnished,5.7,3.06,4.7,2.7,1.1,6.6,5.2,81.3,10226,25831,Yes,24x7,Non-Gated,Villa,North,125.15
1396.0,6,1.0,3,6,3,Urban,Unfurnished,15.9,1.57,5.8,13.5,0.4,8.2,0.9,48.7,7487,34513,Yes,24x7,Non-Gated,Independent House,North,138.88
2122.0,5,1.0,2,7,1,Urban,Furnished,17.6,1.68,8.1,1.4,1.9,3.1,1.2,37.2,5532,8736,Yes,Limited,Non-Gated,Apartment,North,143.28
1545.0,4,5.0,1,12,1,Urban,Unfurnished,37.6,1.91,9.7,5.3,2.3,3.7,0.8,57.5,8640,29610,Yes,24x7,Gated,Apartment,North,104.92
948.0,1,4.0,3,35,1,Suburban,Furnished,15.4,7.7,5.3,11.7,0.5,2.3,1.1,57.4,5338,23687,Yes,Limited,Gated,Apartment,South,49.73
1027.0,3,2.0,3,37,1,Urban,Furnished,22.5,8.2,3.7,6.3,8.7,2.2,1.1,82.0,2087,39731,Yes,Limited,Gated,Apartment,East,67.65
1144.0,4,5.0,1,12,3,Urban,Semi-Furnished,8.2,4.03,7.4,7.9,8.8,2.7,1.0,53.4,3391,47003,Yes,24x7,Gated,Independent House,West,116.21
1923.0,6,1.0,1,29,0,Urban,Furnished,7.7,3.93,5.9,5.9,3.9,2.9,4.8,17.4,14325,23181,Yes,24x7,Gated,Independent House,South,139.36
1728.0,4,1.0,2,0,3,Suburban,Furnished,10.1,1.91,7.0,3.3,10.1,4.1,1.2,61.7,8093,26307,Yes,24x7,Non-Gated,Apartment,North,108.2
2030.0,3,5.0,1,20,1,Urban,Furnished,6.6,4.76,5.1,5.1,2.2,8.2,6.3,67.7,8789,22397,Yes,Limited,Non-Gated,Apartment,East,139.63
1415.0,3,4.0,2,25,3,Urban,Furnished,15.7,4.06,7.2,1.7,5.1,1.1,0.3,58.3,14263,22777,Yes,24x7,Gated,Independent House,South,121.82
1737.0,3,3.0,2,34,3,Urban,Semi-Furnished,5.3,4.15,4.1,2.4,4.1,4.2,1.7,73.6,5300,20793,Yes,24x7,Gated,Villa,West,148.28
1994.0,1,2.0,1,32,2,Urban,Furnished,5.0,0.93,3.4,5.0,1.2,8.7,2.4,43.5,8069,34722,Yes,24x7,Non-Gated,Independent House,West,118.32
1480.0,1,5.0,3,2,0,Urban,Furnished,4.7,9.44,9.0,6.7,6.6,2.7,1.5,69.7,5096,28811,Yes,24x7,Non-Gated,Villa,North,130.0
1901.0,5,4.0,1,16,2,Urban,Semi-Furnished,14.0,2.7,3.2,4.5,1.9,8.9,0.2,97.0,4072,22550,Yes,24x7,Non-Gated,Apartment,South,135.92
1286.0,3,3.0,1,3,3,Suburban,Semi-Furnished,5.1,2.03,5.7,6.2,1.5,8.7,1.3,52.9,9598,16344,Yes,24x7,Gated,Independent House,East,108.86
1450.0,6,2.0,3,0,3,Rural,Semi-Furnished,,2.85,5.9,1.8,0.9,2.6,1.9,42.2,3750,28738,Yes,Limited,Gated,Independent House,North,123.74
1440.0,3,2.0,1,6,0,Suburban,Semi-Furnished,5.1,1.85,6.3,0.7,15.1,1.7,1.4,46.7,11117,26153,Yes,24x7,Non-Gated,Villa,East,119.85
992.0,6,3.0,1,37,2,Urban,Unfurnished,1.3,3.08,9.6,8.3,4.8,9.6,0.3,43.9,7771,24435,Yes,24x7,Gated,Apartment,South,117.17
1918.0,2,4.0,3,10,1,Suburban,Furnished,7.4,3.48,5.7,9.6,2.0,8.2,4.4,72.3,2964,28662,Yes,24x7,Gated,Independent House,North,136.15
1392.0,2,5.0,3,29,2,Urban,Unfurnished,16.1,4.85,7.4,8.5,0.2,4.0,0.3,61.7,7532,36994,Yes,24x7,Gated,Villa,North,120.5
1657.0,4,3.0,1,28,2,Suburban,Semi-Furnished,14.9,1.55,6.3,6.1,2.0,7.5,3.0,54.4,5342,19919,Yes,Limited,Gated,Villa,East,135.87
1914.0,5,2.0,1,34,3,Suburban,Unfurnished,15.2,2.09,7.6,5.1,1.5,3.0,2.5,100.0,9106,26422,Yes,Limited,Gated,Villa,West,150.46
1896.0,1,3.0,3,21,0,Suburban,Furnished,17.5,2.44,9.8,2.7,2.8,1.4,0.3,37.9,7502,25527,Yes,24x7,Non-Gated,Apartment,East,94.4
2016.0,4,3.0,2,39,2,Urban,Unfurnished,16.3,1.95,9.4,2.9,2.0,3.9,1.1,72.9,7792,28416,Yes,24x7,Non-Gated,Villa,South,163.7
1596.0,2,2.0,2,17,2,Suburban,Unfurnished,8.2,8.06,9.4,3.5,8.6,7.9,3.2,78.7,6585,32314,Yes,24x7,Gated,Independent House,West,102.23
1417.0,5,1.0,2,31,1,Suburban,Furnished,16.6,2.58,8.6,4.9,5.2,4.2,0.6,62.4,8834,45177,Yes,24x7,Non-Gated,Apartment,North,99.86
1606.0,4,2.0,2,31,1,Suburban,Semi-Furnished,4.5,6.54,7.5,2.1,4.7,12.3,0.5,44.1,4846,35786,Yes,24x7,Gated,Independent House,East,110.29
722.0,4,1.0,3,21,1,Suburban,Furnished,11.5,4.07,7.3,2.8,3.2,6.6,0.4,45.4,8352,22251,Yes,24x7,Gated,Apartment,East,56.08
854.0,2,1.0,1,12,2,Urban,Furnished,4.7,4.83,7.1,7.5,4.2,2.2,0.8,35.9,5829,12821,Yes,Limited,Non-Gated,Independent House,West,99.3
923.0,2,5.0,1,6,0,Urban,Semi-Furnished,6.8,1.68,4.5,2.1,5.1,7.6,2.7,89.2,4350,14155,Yes,24x7,Non-Gated,Independent House,West,78.67
1102.0,4,4.0,3,3,3,Urban,Semi-Furnished,23.5,5.64,8.6,1.3,0.8,12.7,1.1,52.2,10276,20591,Yes,24x7,Non-Gated,Independent House,North,113.18
1870.0,3,1.0,1,19,0,Urban,Semi-Furnished,8.4,3.22,7.8,2.1,1.8,3.2,1.8,39.9,5415,29965,Yes,24x7,Gated,Apartment,West,129.36
1152.0,5,2.0,3,15,1,Urban,Furnished,6.7,1.31,7.7,4.9,2.8,4.3,0.8,41.0,10460,30877,Yes,24x7,Non-Gated,Independent House,South,103.63
1442.0,1,2.0,2,8,3,Urban,Furnished,19.0,1.34,7.9,1.4,1.7,3.1,0.2,96.9,9131,32782,Yes,24x7,Gated,Villa,West,125.34
2365.0,2,5.0,1,30,0,Urban,Furnished,6.3,0.63,8.0,2.1,0.6,2.5,0.1,50.0,6738,22183,Yes,24x7,Gated,Villa,South,168.7
1454.0,1,3.0,2,6,1,Urban,Furnished,14.6,4.53,4.1,7.5,6.0,4.1,2.8,38.4,4689,17416,Yes,24x7,Non-Gated,Apartment,South,90.72
2056.0,1,2.0,2,18,3,Urban,Semi-Furnished,12.3,2.47,9.3,3.5,0.3,1.5,0.1,44.0,4396,25176,Yes,Limited,Non-Gated,Independent House,West,139.52
1137.0,2,4.0,2,17,1,Rural,Furnished,9.8,4.17,4.4,0.1,7.7,8.2,1.8,82.5,4959,19921,Yes,Limited,Non-Gated,Independent House,North,75.57
1537.0,3,3.0,3,39,1,Urban,Unfurnished,5.7,6.33,7.4,2.3,2.7,3.6,0.6,62.7,7289,26501,Yes,24x7,Gated,Apartment,West,110.83
1127.0,1,1.0,1,4,0,Suburban,Semi-Furnished,27.7,0.74,6.5,6.5,4.6,2.7,0.6,48.5,7818,25690,Yes,24x7,Non-Gated,Apartment,South,58.5
1464.0,1,2.0,1,34,0,Urban,Unfurnished,6.5,2.4,4.5,3.0,1.5,13.4,2.2,54.5,6684,30291,Yes,24x7,Non-Gated,Villa,West,112.67
2112.0,6,1.0,2,27,0,Urban,Furnished,24.3,0.9,9.4,2.1,5.4,2.0,2.5,82.5,2670,18555,Yes,24x7,Gated,Villa,North,161.67
700.0,4,4.0,2,31,3,Urban,Furnished,15.2,2.01,5.7,3.6,3.3,8.1,1.4,50.9,7645,23743,Yes,24x7,Gated,Apartment,South,67.52
1889.0,5,5.0,3,31,2,Urban,Furnished,18.8,1.08,8.7,2.1,1.1,6.3,2.1,51.7,10828,21164,Yes,24x7,Gated,Independent House,East,153.29
1781.0,5,5.0,3,30,0,Rural,Furnished,12.1,8.12,5.8,11.3,3.5,2.3,6.0,44.6,9153,40101,Yes,24x7,Gated,Independent House,East,126.51
1323.0,1,2.0,3,17,3,Urban,Unfurnished,28.3,2.3,9.5,1.6,7.0,6.0,4.0,27.8,11197,24826,Yes,24x7,Gated,Independent House,North,100.39
855.0,4,3.0,2,23,2,Urban,Semi-Furnished,33.0,9.45,3.2,4.3,1.3,4.1,0.8,86.1,6552,24605,Yes,Limited,Non-Gated,Villa,West,82.1
1690.0,6,1.0,2,14,1,Suburban,Unfurnished,9.1,4.19,9.3,3.0,2.0,9.8,2.8,85.2,8349,27303,Yes,24x7,Gated,Apartment,North,121.01
1359.0,3,2.0,3,36,1,Suburban,Unfurnished,6.8,4.28,9.5,1.6,9.7,7.5,2.2,54.5,8348,25775,Yes,24x7,Gated,Apartment,West,85.43
1778.0,6,1.0,3,9,0,Suburban,Semi-Furnished,11.3,1.55,8.9,1.1,2.8,10.6,2.4,64.1,8602,30658,Yes,24x7,Non-Gated,Villa,North,144.1
1662.0,6,4.0,1,23,2,Urban,Semi-Furnished,8.8,1.92,7.0,5.4,6.2,7.5,0.3,44.8,9377,26299,Yes,Limited,Gated,Apartment,South,134.96
2531.0,4,5.0,2,8,2,Rural,Furnished,22.0,2.41,9.9,4.0,6.8,8.2,0.5,76.2,6876,24408,Yes,24x7,Gated,Villa,West,181.04
1518.0,1,,3,14,2,Urban,Semi-Furnished,15.7,4.35,5.3,5.7,4.6,9.6,0.6,55.8,9405,25072,Yes,24x7,Gated,Apartment,North,92.99
1087.0,4,4.0,1,38,1,Urban,Semi-Furnished,4.2,0.43,7.8,0.1,2.4,3.7,0.5,102.0,5667,27632,Yes,24x7,Gated,Apartment,East,96.48
1749.0,6,3.0,3,7,2,Suburban,Furnished,4.1,0.89,7.0,5.2,2.3,12.0,0.0,93.3,10513,42152,Yes,24x7,Gated,Apartment,West,149.89
1771.0,4,3.0,3,35,3,Rural,Unfurnished,12.6,3.95,4.2,6.2,2.8,4.0,2.6,20.3,10531,34606,Yes,24x7,Non-Gated,Villa,North,120.28
2398.0,5,4.0,1,32,2,Rural,Unfurnished,21.9,0.83,,2.6,0.5,6.1,3.3,24.6,6319,17337,Yes,24x7,Gated,Independent House,North,148.93
2109.0,4,4.0,2,14,2,Suburban,Unfurnished,6.0,3.74,5.8,5.0,4.8,4.7,4.4,74.0,7553,27783,Yes,24x7,Gated,Independent House,South,155.63
1846.0,3,2.0,2,14,0,Rural,Furnished,14.9,7.9,4.0,1.9,11.2,8.4,0.7,35.0,3387,38728,Yes,Limited,Non-Gated,Apartment,South,90.12
2455.0,6,4.0,2,0,1,Urban,Unfurnished,17.5,1.73,5.1,4.9,4.6,7.2,2.1,35.5,9571,29203,Yes,24x7,Gated,Apartment,West,162.87
996.0,1,4.0,2,31,0,Rural,Semi-Furnished,15.5,5.26,3.0,4.4,0.3,10.2,0.8,68.8,500,20122,Yes,24x7,Non-Gated,Independent House,West,48.6
1298.0,3,2.0,3,26,1,Suburban,Furnished,3.4,3.61,9.9,2.6,4.4,7.3,2.0,44.9,4564,27820,Yes,Limited,Gated,Apartment,South,95.31
,1,,3,39,3,Urban,Furnished,8.0,1.14,3.1,2.9,0.6,14.9,0.4,47.5,3825,43251,Yes,24x7,Non-Gated,Apartment,North,90.36
1436.0,4,4.0,2,11,2,Urban,Furnished,8.1,0.35,6.2,1.1,5.6,3.9,0.8,76.4,10971,19116,Yes,24x7,Non-Gated,Independent House,West,131.58
893.0,6,1.0,1,15,3,Suburban,Furnished,17.6,2.82,3.2,7.4,3.8,3.3,2.9,55.6,5659,22236,Yes,24x7,Non-Gated,Apartment,West,85.85
1999.0,6,1.0,3,27,1,Urban,Semi-Furnished,7.5,8.3,6.1,0.0,1.5,3.0,0.9,59.4,7886,22177,Yes,24x7,Gated,Independent House,South,144.29
1528.0,2,2.0,2,13,3,Rural,Unfurnished,4.3,3.33,,3.8,2.9,3.2,1.5,49.0,10910,22155,Yes,24x7,Non-Gated,Apartment,North,86.45
841.0,5,1.0,3,12,2,Rural,Unfurnished,16.8,7.04,7.1,3.6,0.8,9.6,1.2,50.1,9434,24370,Yes,24x7,Non-Gated,Apartment,South,57.18
1091.0,6,3.0,3,6,2,Suburban,Furnished,5.3,9.9,6.7,3.6,10.1,8.9,1.7,60.4,8566,23396,Yes,24x7,Non-Gated,Villa,East,121.26
1822.0,6,3.0,1,39,3,Urban,Semi-Furnished,2.5,3.78,3.9,9.8,3.8,4.9,1.7,47.2,3487,29673,No,24x7,Gated,Apartment,West,131.33
2111.0,4,4.0,2,19,1,Suburban,Furnished,7.8,5.49,6.4,2.0,1.2,14.7,0.2,29.5,6970,20617,Yes,24x7,Gated,Apartment,East,140.09
2748.0,2,1.0,1,30,1,Suburban,Furnished,2.8,1.0,4.2,7.4,3.3,5.0,2.2,63.0,10819,18516,Yes,24x7,Non-Gated,Apartment,South,130.03
3253.0,3,3.0,2,26,2,Urban,Unfurnished,2.1,4.92,6.7,5.6,2.3,6.2,2.1,39.4,8418,41630,Yes,24x7,Gated,Independent House,North,198.34
1878.0,5,4.0,3,23,1,Urban,Unfurnished,1.1,6.28,5.2,6.0,2.1,5.6,1.9,49.8,5418,30062,Yes,24x7,Gated,Independent House,South,140.86
1106.0,4,3.0,2,12,2,Suburban,Unfurnished,14.2,2.45,6.3,1.8,11.2,10.1,0.6,56.3,6672,37513,Yes,24x7,Gated,Independent House,South,96.03
477.0,3,5.0,1,12,3,Urban,Semi-Furnished,10.8,2.71,4.2,6.6,1.5,3.1,1.5,66.7,4510,26340,Yes,24x7,Non-Gated,Apartment,West,54.84
1797.0,2,2.0,3,19,0,Urban,Semi-Furnished,36.9,6.9,4.9,0.9,0.6,2.9,1.2,27.7,9181,32498,Yes,24x7,Gated,Apartment,West,95.21
1203.0,4,3.0,1,5,2,Urban,Semi-Furnished,6.8,2.05,7.2,0.6,0.6,2.0,0.4,71.4,7002,29421,Yes,24x7,Non-Gated,Apartment,West,113.24
1422.0,3,1.0,1,21,1,Urban,Semi-Furnished,26.2,3.85,4.6,4.9,2.0,5.4,1.9,39.4,3297,34731,Yes,Limited,Non-Gated,Independent House,South,86.89
1313.0,3,3.0,2,3,0,Suburban,Furnished,14.8,3.22,6.5,3.7,11.1,1.3,1.9,99.0,6518,30307,Yes,24x7,Gated,Villa,East,119.14
1573.0,6,1.0,3,11,0,Urban,Furnished,7.2,9.18,9.3,4.6,2.3,14.1,4.3,76.8,7262,36295,Yes,Limited,Gated,Apartment,North,133.49
2236.0,1,5.0,3,25,3,Suburban,Unfurnished,4.6,4.99,3.0,1.7,3.4,2.3,4.8,91.1,7013,33052,Yes,24x7,Non-Gated,Independent House,North,139.3
1736.0,2,2.0,2,0,1,Rural,Furnished,12.5,2.69,8.0,8.8,5.9,3.4,2.6,67.1,8324,27963,Yes,24x7,Non-Gated,Apartment,East,95.28
1563.0,6,5.0,3,1,0,Suburban,Unfurnished,5.2,3.28,7.3,3.0,2.9,5.3,2.3,47.6,3623,15043,Yes,Limited,Non-Gated,Independent House,South,138.54
1080.0,6,1.0,3,8,2,Suburban,Furnished,12.4,0.4,9.7,6.4,7.4,2.4,0.3,58.2,5500,24309,Yes,24x7,Gated,Apartment,East,98.94
